Timestamp,X,Y,Polarity
92,27,74,0
243,29,88,0
337,136,59,1
377,117,94,1
388,149,51,0
563,198,95,1
593,161,26,0
651,33,3,1
676,143,52,1
703,118,58,0
747,136,59,1
819,177,60,0
845,58,73,1
917,53,66,1
948,132,13,1
1009,178,45,0
1089,69,68,0
1132,33,3,1
1210,136,59,1
1280,68,62,1
1355,196,60,1
1386,68,69,1
1440,69,69,1
1462,210,44,1
1472,29,88,1
1496,161,26,0
1540,60,73,0
1617,83,74,1
1694,118,82,0
1699,136,59,1
1720,132,13,1
1727,141,47,1
1741,63,29,1
1750,95,29,1
1751,58,73,1
1790,33,3,1
1798,19,15,0
1898,95,66,1
1911,33,9,0
1970,160,68,0
2023,39,58,1
2066,29,88,1
2128,136,59,1
2156,49,92,1
2229,11,19,1
2257,58,73,0
2257,11,19,1
2260,70,69,1
2270,101,39,1
2274,158,62,1
2322,224,96,1
2426,41,58,0
2444,81,65,1
2513,225,32,1
2555,177,47,1
2571,58,73,0
2579,136,59,1
2623,211,38,1
2645,132,13,1
2650,33,3,1
2679,55,54,1
2707,190,61,1
2796,33,9,0
2825,161,26,0
2847,58,73,0
2881,42,56,1
2886,39,52,0
2910,27,74,0
2934,32,7,1
3007,121,82,0
3013,177,60,1
3049,136,59,1
3060,39,51,1
3070,105,48,1
3081,101,39,1
3086,182,67,0
3122,129,79,0
3171,58,73,0
3208,117,82,0
3209,157,46,1
3222,55,72,0
3242,94,59,0
3255,93,72,0
3272,61,108,0
3332,155,68,0
3340,177,47,1
3348,145,69,0
3413,51,54,1
3435,198,95,1
3470,77,66,1
3494,58,73,0
3520,136,59,1
3525,115,82,0
3629,159,68,0
3649,143,69,0
3670,178,45,0
3745,61,108,0
3763,158,62,1
3803,35,44,0
3873,58,73,0
3931,29,88,0
3931,122,82,0
4000,136,59,1
4042,186,56,1
4048,35,54,1
4095,175,67,0
4121,179,67,0
4197,41,53,1
4201,35,39,1
4223,150,57,1
4272,31,2,0
4277,41,52,0
4313,58,73,0
4379,11,35,0
4388,169,60,0
4414,31,2,0
4440,59,73,0
4444,173,67,0
4453,27,74,1
4463,136,59,0
4517,217,25,1
4546,185,66,0
4547,34,49,1
4584,1,3,0
4593,182,40,1
4597,31,2,0
4640,39,54,1
4682,38,67,1
4693,97,62,1
4710,117,71,0
4728,33,9,1
4729,142,56,0
4734,94,66,1
4746,31,2,0
4785,101,39,0
4787,57,72,0
4790,181,67,0
4810,44,82,0
4869,58,73,0
4889,38,59,1
4942,161,26,0
4964,31,2,0
4975,117,63,0
4977,143,55,0
4989,38,82,0
5010,154,68,0
5012,61,73,0
5028,180,53,0
5051,100,60,1
5072,77,27,1
5110,57,94,1
5116,117,71,0
5140,147,69,0
5149,31,2,0
5183,37,67,1
5188,126,81,0
5220,35,51,1
5263,42,82,0
5326,85,111,1
5367,39,66,1
5372,144,52,1
5373,129,52,1
5374,58,65,1
5400,31,2,0
5412,106,61,1
5513,91,72,0
5518,131,53,0
5519,132,78,0
5521,117,71,0
5530,89,71,0
5531,150,68,0
5534,33,3,0
5536,93,60,1
5581,101,39,0
5651,167,60,0
5655,161,71,1
5668,58,73,0
5669,31,2,0
5769,58,63,1
5772,71,62,1
5779,10,8,1
5792,10,8,1
5792,136,59,1
5797,34,68,1
5893,61,108,1
5934,33,39,1
5945,174,67,0
5946,9,88,0
5953,177,47,0
5961,34,54,1
5967,117,71,0
5967,36,54,1
5973,77,27,1
5985,31,2,0
5998,67,68,1
6001,119,82,0
6009,103,60,1
6027,184,61,0
6038,18,9,1
6065,18,9,1
6065,223,91,1
6104,60,91,1
6105,38,45,0
6114,190,64,0
6120,77,73,0
6158,40,53,1
6160,71,68,0
6175,80,60,0
6185,196,84,1
6191,97,58,1
6204,137,47,1
6244,37,40,1
6270,40,52,0
6278,158,62,0
6285,32,53,0
6298,136,59,1
6326,29,88,1
6356,35,44,0
6371,176,67,0
6382,225,93,1
6415,178,45,1
6418,53,72,0
6462,184,66,0
6493,217,25,1
6495,175,55,1
6497,146,69,0
6505,40,83,0
6506,117,71,0
6508,135,16,1
6540,184,61,0
6549,227,26,1
6570,31,2,0
6585,169,56,1
6594,39,56,0
6597,49,76,0
6599,177,67,0
6612,41,82,0
6642,157,42,1
6664,63,73,0
6685,98,87,1
6709,36,51,1
6718,36,51,1
6719,37,54,1
6742,145,54,0
6761,101,39,0
6786,22,85,1
6788,22,85,1
6788,132,22,0
6793,183,66,0
6801,143,56,0
6808,136,56,1
6831,84,61,1
6837,136,59,1
6842,61,108,1
6928,201,80,1
6929,148,69,0
6930,94,72,0
6938,77,27,1
6953,135,47,1
6955,10,8,1
6978,10,8,1
6978,142,69,0
6993,58,64,1
7002,188,65,0
7038,33,54,1
7043,184,61,0
7052,140,57,0
7053,147,57,1
7054,1,6,1
7058,107,78,1
7071,118,82,0
7108,101,74,0
7140,68,68,0
7143,41,59,0
7150,153,51,0
7153,63,29,0
7182,120,82,0
7215,117,71,0
